entity_id,entity_name,industry,entity_kind,entity_kind_group,org_size,org_size_score,org_size_unknown,size_confidence,employee_size,turnover_size,sector_proxy,prior_records_band,prior_event_number,prior_event_date,prior_event_ids,prior_titles,spell_end_date,next_event_ids,next_titles,duration_days,event,event_number_cat,elapsed_band
1,Australian Bank,Finance,organisation,organisation,UNKNOWN,2.8546875,1,0.4,unknown,unknown,finance,100k+,1,2019-12-12,f0304297-eb38-4307-a99f-8817b2320ff7,Australian Bank Data Breach via Third,2026-08-05,,,2428,0,1,>1460
4,Canva,Technology,organisation,organisation,HUGE,4.0,0,0.9,very_large,unknown,technology,100k+,1,2019-05-17,48ba74fb-166a-4465-a28f-0a14f2009526,Canva Data Security Breach - Shred-X,2026-08-05,,,2637,0,1,>1460
5,Government,Other,other,other_or_unknown,UNKNOWN,2.8546875,1,0.9,unknown,unknown,government,unknown,1,2024-01-01,1587a08d-129b-40f0-bb95-f41d57251a67,"Labor hit by major government data breach, millions of files stolen from key departments",2025-06-01,29aec421-ae03-47cb-8c84-fe096cae8b2c,Government face $1 million ransom for cyber attack on health,517,1,1,366-730
5,Government,Other,other,other_or_unknown,UNKNOWN,2.8546875,1,0.9,unknown,unknown,government,unknown,2,2025-06-01,29aec421-ae03-47cb-8c84-fe096cae8b2c,Government face $1 million ransom for cyber attack on health,2026-08-05,,,430,0,2,366-730
8,Toll Group,Other,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,other,10k-100k,1,2020-01-31,342c599d-46e3-4982-9cbd-a704daac4fd2,Toll Group ransomware attacks (2020),2026-08-05,,,2378,0,1,>1460
18,ImLive,Technology,organisation,organisation,UNKNOWN,2.8546875,1,0.4,unknown,unknown,technology,1k-10k,1,2020-01-03,b74cc8c6-81b3-413c-b1d2-8b57329ecf4b,Exclusive: Australians involved in online pornography data breach,2026-08-05,,,2406,0,1,>1460
31,Travelex,Technology,organisation,organisation,HUGE,4.0,0,0.9,very_large,unknown,technology,unknown,1,2019-12-31,8430bd30-329c-405b-936d-cedbee3cc346,Travelex website was hit by Sodinokibi ransomware,2026-08-05,,,2409,0,1,>1460
41,Clearview AI,Technology,organisation,organisation,MEDIUM,2.0,0,0.9,small,unknown,technology,unknown,1,2019-10-01,2cbaacd1-dd6c-4be3-a7ae-e12f0902a445,Clearview AI breached Australians’ privacy,2020-02-01,91c7d37f-3305-4db0-9cb0-caaa8bccbb80,Controversial facial recognition startup Clearview AI hit by massive client data breach,123,1,1,0-180
41,Clearview AI,Technology,organisation,organisation,MEDIUM,2.0,0,0.9,small,unknown,technology,unknown,2,2020-02-01,91c7d37f-3305-4db0-9cb0-caaa8bccbb80,Controversial facial recognition startup Clearview AI hit by massive client data breach,2026-08-05,,,2377,0,2,>1460
59,Genea,Healthcare,organisation,organisation,LARGE,3.0,0,0.7,large,unknown,health,<1k,1,2025-01-31,0362d1d4-c904-415e-910a-73c4a9ca4e8b,Genea IVF Clinic Data Breach (January 2025),2026-08-05,,,551,0,1,366-730
62,ANZ,Financial,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,finance,10k-100k,1,2021-01-01,0bf475d9-37b7-4874-a164-f32ae3b1adec,Multiple Australian bank customers’ credentials compromised via infostealer malware,2024-04-01,4731102d-57f1-459a-91a6-3eb042b6bba5,ANZ Data breach? : r/cybersecurity,1186,1,1,731-1460
62,ANZ,Financial,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,finance,10k-100k,2,2024-04-01,4731102d-57f1-459a-91a6-3eb042b6bba5,ANZ Data breach? : r/cybersecurity,2024-12-11,bcdc7447-a168-43d6-8d84-8515ac35f497,Exclusive: Funksec ransomware gang allegedly targets pair of Aussie companies,254,1,2,181-365
62,ANZ,Financial,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,finance,unknown,3,2024-12-11,bcdc7447-a168-43d6-8d84-8515ac35f497,Exclusive: Funksec ransomware gang allegedly targets pair of Aussie companies,2025-04-01,a634f5c5-dc4e-4b17-9951-0dbbb51b8cf9,"Cybercriminals Trade Stolen Banking Info of 65,000 Australians",111,1,3+,0-180
