comparison,missing_terms,log_rate_ratio,std_error,rate_ratio,ci_low,ci_high,z,p_two_sided,directional_alternative,p_directional,variant,variant_label
response vs immediate,,-0.20840047041332446,0.28560658859111354,0.8118818369450307,0.4638521665699958,1.421039211771733,-0.7296766907281659,0.4655878322721966,less,0.2327939161360983,all_covariates,All covariates
long-term vs response,,0.5255345004676908,0.2533416852715387,1.6913626409414186,1.0294089445973273,2.778980693908143,2.074409901806756,0.03804125849571633,greater,0.019020629247858165,all_covariates,All covariates
long-term vs immediate,,0.31713403005436636,0.29299986489372554,1.3731866078677173,0.7732555382525512,2.4385747876937716,1.0823692023523444,0.27908850738936464,,,all_covariates,All covariates
response vs immediate,,-0.21636127364102417,0.28512427661888373,0.805444263522678,0.46060941281714507,1.4084394360805848,-0.7588314688833991,0.44795337837590277,less,0.22397668918795138,drop_size,Drop organisation size
long-term vs response,,0.5639367095011275,0.25191654268300445,1.7575779728628786,1.0727015567261025,2.8797201899479803,2.2385854596724486,0.025182901193772988,greater,0.012591450596886494,drop_size,Drop organisation size
long-term vs immediate,,0.34757543586010337,0.29104612951811243,1.4156310959362226,0.8002148875102845,2.504341560073556,1.1942279955263002,0.23238879485417263,,,drop_size,Drop organisation size
response vs immediate,,-0.23122862516263754,0.2850546952914149,0.7935580179633165,0.453873920375097,1.3874653281542002,-0.8111728344844475,0.41726642367493105,less,0.20863321183746553,drop_industry,Drop industry/sector
long-term vs response,,0.48796318906348923,0.25461076761878865,1.6289948840416273,0.9889871746224581,2.683173655155644,1.916506491956708,0.055300657667640994,greater,0.027650328833820497,drop_industry,Drop industry/sector
long-term vs immediate,,0.2567345639008517,0.2949913899902708,1.2927019514524563,0.725097927757444,2.3046243428901216,0.8703120586309965,0.3841298907915862,,,drop_industry,Drop industry/sector
response vs immediate,,-0.22669193357485665,0.2846834812118576,0.7971663246463982,0.45626953582748114,1.3927604173655026,-0.7962946519055512,0.42586079335606697,less,0.21293039667803348,drop_size_and_industry,Drop size and industry/sector
long-term vs response,,0.5437711095772501,0.2526590400235889,1.7224903293464324,1.0497577162670149,2.826340677201849,2.1521933651235363,0.031382127993888856,greater,0.015691063996944428,drop_size_and_industry,Drop size and industry/sector
long-term vs immediate,,0.3170791760023934,0.2921684835771781,1.3731112850840597,0.7744741068193455,2.4344708036378493,1.0852613947959755,0.27780589907128217,,,drop_size_and_industry,Drop size and industry/sector
