entity_id,entity_name,employee_count,turnover,entity_kind,size_estimate,size_confidence,size_employees,size_revenue_aud,industry,deduplicated_event_id,title,event_date,event_type,records_affected,vendor_organization_name,date_confidence,confidence_score,total_data_sources,source_members,org_size,org_size_score,org_size_unknown,employee_size,turnover_size,entity_kind_group,sector_proxy,records_bucket
5862,13cabs,650.0,,organisation,LARGE,0.9,650.0,150000000.0,Other,d71b6cff-4611-4401-bd01-aa171dae5fc1,"13cabs Cyber Incident, Trump Administration Security Issues, And",2025-03-01,Data Breach,11000.0,,,0.85,2,2,LARGE,3.0,0,large,unknown,organisation,other,10k-100k
5976,3P Corporation,30.0,,organisation,MEDIUM,0.7,30.0,5000000.0,Financial,42f712dd-e188-4a0c-972c-0fe97786335a,Exclusive: Melbourne-based 3P Corporation breached by Space Bears ransomware,2025-04-07,Ransomware,4500.0,,,0.5,4,4,MEDIUM,2.0,0,small,unknown,organisation,finance,1k-10k
2844,62 Australian Government entities,,,unknown,UNKNOWN,0.9,,,Other,8d37591c-d54d-4d6f-9a91-f0197509db87,Oracle E-Business Suite Zero-Day Exploitation Campaign,2025-08-09,Vulnerability Exploit,50.0,,,0.65,1,1,UNKNOWN,2.8546875,1,unknown,unknown,other_or_unknown,government,<1k
1999,AAA Collections,20.0,,organisation,MEDIUM,0.7,20.0,15000000.0,Other,62d1712a-a3db-4547-a772-9476c2388244,List of Data Breaches and Cyber Attacks in November 2022,2022-09-05,Data Breach,56848.0,,,0.5,1,1,MEDIUM,2.0,0,small,unknown,organisation,other,10k-100k
3447,Aboriginal Family Support Services,200.0,,organisation,LARGE,0.8,200.0,30000000.0,,aff07d57-a59f-43a6-850f-95daa7ca8784,Aboriginal child protection service contracted by SA government hit by data breach,2023-11-27,Data Breach,1000.0,,,0.85,1,1,LARGE,3.0,0,medium,unknown,organisation,other,1k-10k
701,Accenture,733000.0,,organisation,HUGE,1.0,733000.0,101000000000.0,Technology,1ec6984d-67cf-47bb-a969-8a34374d9ca4,Accenture ransomware attack (August 2021),2021-08-11,Ransomware,33000.0,,,0.85,1,1,HUGE,4.0,0,very_large,unknown,organisation,technology,10k-100k
23241,Access Equipment Hire,250.0,,organisation,LARGE,0.7,250.0,60000000.0,Other,55070897-ee1a-472d-a57d-305fc0905594,DragonForce ransomware group claims breach of Access Equipment Hire,2026-07-10,Ransomware,,,,0.65,1,1,LARGE,3.0,0,large,unknown,organisation,other,unknown
3945,ACT container deposit scheme,,,organisation,HUGE,0.9,,,Government,34da22ac-3831-43b4-adf1-870478f36344,ACT container deposit scheme suffers another security breach,2024-03-01,Data Breach,,,,0.85,1,1,HUGE,4.0,0,unknown,unknown,organisation,government,unknown
1073,ACT Government,29000.0,,government_body,HUGE,1.0,29000.0,8400000000.0,Government,6069f32f-e657-43aa-a3a7-520a00699c51,ACT Government compo spreadsheet breach (2021),2021-11-01,Data Breach,30000.0,CMTEDD,,0.85,2,2,HUGE,4.0,0,very_large,unknown,government_body,government,10k-100k
1073,ACT Government,29000.0,,government_body,HUGE,1.0,29000.0,8400000000.0,Government,635a5e08-6295-4045-83bc-29abac0be83a,Digital Health Record - ACT Government,2023-05-24,Data Breach,,,,0.5,1,1,HUGE,4.0,0,very_large,unknown,government_body,government,unknown
1073,ACT Government,29000.0,,government_body,HUGE,1.0,29000.0,8400000000.0,Government,72681931-d98e-4581-ace3-30c826dae0ca,Free three-year-old preschool - ACT Government,2023-06-08,Other,,,,0.5,1,1,HUGE,4.0,0,very_large,unknown,government_body,government,unknown
1073,ACT Government,29000.0,,government_body,HUGE,1.0,29000.0,8400000000.0,Government,2e40d654-9c7e-4e50-809d-192c3050f007,Fuel supply in the ACT - ACT Government,2026-05-07,Infrastructure Attack,,,,0.5,1,1,HUGE,4.0,0,very_large,unknown,government_body,government,unknown
23512,Adelaide Women's Health Clinic,,,organisation,UNKNOWN,0.4,,,Healthcare,b5815da9-5b75-42fe-b170-ca284ac9c309,Adelaide Women's Health Clinic Cyber Attack,2025-07-01,Other,,,,0.5,6,6,UNKNOWN,2.8546875,1,unknown,unknown,organisation,health,unknown
4826,Adreno,65.0,,organisation,MEDIUM,0.8,65.0,30000000.0,Retail,03795129-e215-4923-93eb-811f41fb15a2,"Exclusive: Hacker claims successful hack of Adreno, the ‘world’s largest dive store’",2024-07-01,Data Breach,536519.0,,,0.85,1,1,MEDIUM,2.0,0,medium,unknown,organisation,retail,100k+
4471,Advance Press,50.0,,organisation,MEDIUM,0.7,50.0,,Other,221b2c0a-87c8-4727-ae49-b1e3a78780b2,Aussie printing company suffers alleged 300Gb data breach,2024-01-01,Data Breach,,,,0.85,1,1,MEDIUM,2.0,0,medium,unknown,organisation,other,unknown
11560,Aeromedical Society of Australasia,3.0,,organisation,SMALL,0.9,3.0,50000.0,,94bfa2eb-6c37-4945-8f2c-b112452d18ba,Aeromedical Society of Australasia LockBit Ransomware Attack,2026-02-11,Ransomware,,,,0.5,8,8,SMALL,1.0,0,small,unknown,organisation,health,unknown
22522,Ageing Australia,10.0,,organisation,SMALL,0.4,10.0,2000000.0,,acdc996f-6b0e-4de8-b71d-cc3ebd83f30c,"Ageing - When a cyber incident hits, theory disappears",2026-05-03,Data Breach,,,,0.5,1,1,SMALL,1.0,0,small,unknown,organisation,other,unknown
1948,AGL,3500.0,,organisation,LARGE,1.0,3500.0,12500000000.0,Energy,9718511e-c712-482e-8b89-663f3a39e3b3,AGL Energy cyber incidents (November-December 2022),2022-12-01,Other,6000.0,,,0.5,4,4,LARGE,3.0,0,very_large,unknown,organisation,industrial,1k-10k
22122,Albright Institute,30.0,,organisation,MEDIUM,0.7,30.0,5000000.0,Education,a925d89f-3e77-475e-95f0-ae4b8d473846,Albright Institute KillSec Ransomware Breach,2025-02-10,Ransomware,,,,0.65,1,1,MEDIUM,2.0,0,small,unknown,organisation,education,unknown
5573,Albright Institute of Language and Business,125.0,,organisation,MEDIUM,0.9,125.0,5000000.0,Education,a9c68923-a93a-4b74-a29c-a8c118dd4a15,Albright Institute of Language and Business cyber attack (February 2025),2025-02-10,Ransomware,,,,0.5,3,3,MEDIUM,2.0,0,medium,unknown,organisation,education,unknown
3254,Alfred Health,11424.0,,organisation,HUGE,1.0,11424.0,1831000000.0,Healthcare,731df64e-8e16-4d55-b8a5-2d79b08a03f0,The Alfred data breach (November 2019),2019-11-01,Data Breach,7000.0,,,0.5,3,2,HUGE,4.0,0,very_large,unknown,organisation,health,1k-10k
4834,All Parks Insurance,,,organisation,UNKNOWN,0.4,,,Other,9686d45a-f58d-4a38-865e-3f9222d1caba,All Parks Insurance Meow Ransomware Attack,2024-08-26,Ransomware,90.0,,,0.5,4,4,UNKNOWN,2.8546875,1,unknown,unknown,organisation,finance,<1k
632,Allens,1900.0,,organisation,LARGE,0.9,1900.0,559000000.0,Other,4c3761bf-cb7e-429f-a955-4d6e8680aa73,Allens victim of high-profile cyber attack,2021-01-01,Other,,,,0.5,2,2,LARGE,3.0,0,very_large,unknown,organisation,other,unknown
22670,ALS,5000.0,,organisation,HUGE,0.9,5000.0,1000000000.0,Mining,60dd413f-3a45-4c70-9e5e-5a2de559224b,Australia's ALS restores most services after cyber incident,2026-05-05,Other,500.0,,,0.65,5,5,HUGE,4.0,0,very_large,unknown,organisation,industrial,<1k
2643,Ambulance Victoria,7000.0,,organisation,HUGE,1.0,7000.0,1400000000.0,Government,af5a96f9-4bb9-42c4-bdff-7e4f71801754,Mass hack incident exposes Tasmanian patient’s medical data on public website,2020-11-01,Data Breach,,Accenture,,0.85,2,2,HUGE,4.0,0,very_large,unknown,organisation,government,unknown
2643,Ambulance Victoria,7000.0,,organisation,HUGE,1.0,7000.0,1400000000.0,Government,3ee27739-5634-48b0-aad9-c86283142c77,Ambulance Victoria data breach (May 2023),2023-05-01,Data Breach,4000.0,,,0.5,3,3,HUGE,4.0,0,very_large,unknown,organisation,government,1k-10k
23174,American Express Australia Limited,1200.0,,organisation,LARGE,1.0,1200.0,2100000000.0,Financial,808bfe03-df90-433e-8d87-99147659ecea,American Express customers exposed in third-party breach,2024-02-01,Data Breach,50000.0,,,0.85,1,1,LARGE,3.0,0,very_large,unknown,organisation,finance,10k-100k
23174,American Express Australia Limited,1200.0,,organisation,LARGE,1.0,1200.0,2100000000.0,Financial,c3a13440-181c-4103-8494-12768581bfee,American Express Australia privacy breach (June 2026),2026-06-15,Data Breach,,,,0.9,1,1,LARGE,3.0,0,very_large,unknown,organisation,finance,unknown
3185,Amnesty International Australia,125.0,,organisation,MEDIUM,0.9,125.0,22500000.0,,a18b7ed9-0c07-4b8b-b812-9c70df634809,Amnesty International latest victim of widening telemarketer breach,2023-04-01,Data Breach,,Pareto Phone,,0.5,2,2,MEDIUM,2.0,0,medium,unknown,organisation,other,unknown
537,Anglicare Sydney,6500.0,,organisation,HUGE,1.0,6500.0,627500000.0,,3ba715e5-2009-45c5-8574-6e87795b5a3d,Anglicare Sydney being held to ransom over sensitive data stolen,2020-08-31,Ransomware,,,,0.5,1,1,HUGE,4.0,0,very_large,unknown,organisation,other,unknown
7769,Ansell,10000.0,,unknown,HUGE,0.9,10000.0,2000000000.0,Other,8d6df0e8-7001-45f4-aba3-45c126235ba9,Ansell Limited Cyber Incident,2025-10-01,Data Breach,,,,0.5,2,2,HUGE,4.0,0,very_large,unknown,other_or_unknown,other,unknown
22854,Anthropic,4000.0,,organisation,LARGE,1.0,4000.0,47000000000.0,Technology,b7d950d5-d1ff-4394-8c2b-1c0e92e71291,Anthropic leak lands hours after Australian government's AI deal,2026-04-01,Data Breach,,,,0.5,1,1,LARGE,3.0,0,very_large,unknown,organisation,technology,unknown
5243,ANU Enterprise,20.0,,organisation,MEDIUM,0.9,20.0,10000000.0,,69a7362d-541a-481b-89ec-ace8d9bf28cc,ANU Enterprise confirms ransomware attack,2024-09-28,Ransomware,,,,0.85,1,1,MEDIUM,2.0,0,small,unknown,organisation,other,unknown
3798,AnyDesk,500.0,,organisation,LARGE,0.9,500.0,47250000.0,Technology,75cac18d-e260-4771-8864-9469c4950757,AnyDesk resets passwords after breach,2023-12-31,Data Breach,18000.0,,,0.85,1,1,LARGE,3.0,0,large,unknown,organisation,technology,10k-100k
62,ANZ,40000.0,,organisation,HUGE,1.0,40000.0,10000000000.0,Financial,0bf475d9-37b7-4874-a164-f32ae3b1adec,Multiple Australian bank customers’ credentials compromised via infostealer malware,2021-01-01,Data Breach,31000.0,,,0.5,9,9,HUGE,4.0,0,very_large,unknown,organisation,finance,10k-100k
62,ANZ,40000.0,,organisation,HUGE,1.0,40000.0,10000000000.0,Financial,4731102d-57f1-459a-91a6-3eb042b6bba5,ANZ Data breach? : r/cybersecurity,2024-04-01,Data Breach,30000.0,,,0.5,1,1,HUGE,4.0,0,very_large,unknown,organisation,finance,10k-100k
62,ANZ,40000.0,,organisation,HUGE,1.0,40000.0,10000000000.0,Financial,bcdc7447-a168-43d6-8d84-8515ac35f497,Exclusive: Funksec ransomware gang allegedly targets pair of Aussie companies,2024-12-11,Ransomware,,,,0.85,1,1,HUGE,4.0,0,very_large,unknown,organisation,finance,unknown
62,ANZ,40000.0,,organisation,HUGE,1.0,40000.0,10000000000.0,Financial,a634f5c5-dc4e-4b17-9951-0dbbb51b8cf9,"Cybercriminals Trade Stolen Banking Info of 65,000 Australians",2025-04-01,Data Breach,65000.0,,,0.65,1,1,HUGE,4.0,0,very_large,unknown,organisation,finance,10k-100k
62,ANZ,40000.0,,organisation,HUGE,1.0,40000.0,10000000000.0,Financial,10996b0e-5b68-4993-8ceb-fa2ba6b7da9d,Latest security alerts | ANZ,2025-08-09,Vulnerability Exploit,,F5,,0.5,4,4,HUGE,4.0,0,very_large,unknown,organisation,finance,unknown
2371,APUNIPIMA,280.0,,organisation,LARGE,0.9,280.0,40000000.0,,2f193adf-19d1-4fed-83d1-77473ad0aad6,APUNIPIMA CYBER-SECURITY INCIDENT UPDATE (Wednesday,2023-03-01,Other,,,,0.5,1,1,LARGE,3.0,0,large,unknown,organisation,other,unknown
5390,ARDEX Australia,139.0,,organisation,MEDIUM,0.8,139.0,,Other,cef1cdbc-e49b-4de0-8d8a-941df2ae870d,Exclusive: ARDEX Australia cyber attack claimed by Medusa ransomware,2025-01-01,Ransomware,,,,0.5,9,9,MEDIUM,2.0,0,medium,unknown,organisation,other,unknown
2145,ARTC,2000.0,,organisation,LARGE,1.0,2000.0,1037013000.0,Government,5958db45-356d-4233-a45a-67666526339a,ARTC cyber incident (February 2023),2023-02-01,Other,,,,0.5,1,1,LARGE,3.0,0,very_large,unknown,organisation,government,unknown
4765,Arts Centre Melbourne,750.0,,organisation,LARGE,0.9,750.0,150000000.0,Other,a355dbbe-0dbb-4d58-bce4-2cf4a1ef5b2c,Arts Centre Melbourne data breach (2023-2024),2024-07-01,Data Breach,,,,0.5,2,2,LARGE,3.0,0,large,unknown,organisation,other,unknown
6563,Asahi,12500.0,,organisation,HUGE,0.9,12500.0,20000000000.0,Other,27c3a426-1f50-4584-bec9-1a79e4dca34d,"Exclusive: Qilin ransomware affiliate claims Asahi hack, Aussie data compromised",2025-09-29,Ransomware,1914000.0,,,0.5,10,10,HUGE,4.0,0,very_large,unknown,organisation,other,100k+
5713,Ascom,1350.0,,organisation,LARGE,0.9,1350.0,500000000.0,Technology,e6439609-b004-49b2-a658-a834558bf95d,Ascom Cyber Attack,2025-03-16,Ransomware,,,,0.65,1,1,LARGE,3.0,0,very_large,unknown,organisation,technology,unknown
