comparison,missing_terms,log_rate_ratio,std_error,rate_ratio,ci_low,ci_high,z,p_two_sided,directional_alternative,p_directional,variant,variant_label
response vs immediate,,0.6166199595528715,0.4533401717383658,1.8526553967455845,0.761910048345438,4.504904517986321,1.3601705694608919,0.17377595352016173,less,0.9131120232399191,all_covariates,All covariates
long-term vs response,,0.17947102408889448,0.24815852586540357,1.1965842314468271,0.7357096858754819,1.9461668786423003,0.7232111951947849,0.46955014184825017,greater,0.23477507092412508,all_covariates,All covariates
long-term vs immediate,,0.796090983641766,0.4378611215168741,2.216858234050632,0.9397731012245844,5.229411677642434,1.8181358072712253,0.06904337834425614,,,all_covariates,All covariates
response vs immediate,,0.6026286545460889,0.4532571063334408,1.8269148220390856,0.7514464920401372,4.441590721815269,1.3295514755873727,0.18366609495054342,less,0.9081669525247282,drop_size,Drop organisation size
long-term vs response,,0.19372461148384468,0.2464982324726161,1.213761980815998,0.748703732715308,1.967691733994014,0.7859066961275913,0.4319221513330449,greater,0.21596107566652245,drop_size,Drop organisation size
long-term vs immediate,,0.7963532660299336,0.43672044617613515,2.217439753180267,0.9421235946738966,5.2191019169689,1.8234851905897573,0.06822993804440351,,,drop_size,Drop organisation size
response vs immediate,,0.6172021872426738,0.4532796435412301,1.85373437809316,0.7624442300464876,4.506993441756278,1.361636676248695,0.17331257460480443,less,0.9133437126975978,drop_industry,Drop industry/sector
long-term vs response,,0.12198536072078081,0.2480236426501034,1.129737563115631,0.6947932366702966,1.836959391877466,0.4918295668000905,0.6228398329675919,greater,0.31141991648379597,drop_industry,Drop industry/sector
long-term vs immediate,,0.7391875479634546,0.4377182320998339,2.0942333589706363,0.8880384947798693,4.938764915717543,1.6887291726858256,0.09127134238447285,,,drop_industry,Drop industry/sector
response vs immediate,,0.6127082143668194,0.4531484015107666,1.845422436886982,0.7592207864913059,4.4856305717136555,1.3521138159686563,0.17633890822952825,less,0.9118305458852358,drop_size_and_industry,Drop size and industry/sector
long-term vs response,,0.15536575284403442,0.24652854992916048,1.1680851134365868,0.7204853441166412,1.893755151820651,0.6302140376385553,0.5285545561338023,greater,0.26427727806690116,drop_size_and_industry,Drop size and industry/sector
long-term vs immediate,,0.7680739672108539,0.43640426060488574,2.155610476529553,0.9164219433031606,5.070433505526407,1.7600056565585578,0.07840684749483526,,,drop_size_and_industry,Drop size and industry/sector
