comparison,missing_terms,log_rate_ratio,std_error,rate_ratio,ci_low,ci_high,z,p_two_sided,directional_alternative,p_directional,variant,variant_label
response vs immediate,,0.6025589707672839,0.4357401657986222,1.8267875201462211,0.7776398698477125,4.291385734138741,1.38284009155529,0.16671390294340493,less,0.9166430485282975,all_covariates,All covariates
long-term vs response,,0.3727371359611329,0.23388733011104773,1.4517026892417366,0.9178860440796495,2.2959720452714687,1.5936610836686214,0.11101196506948871,greater,0.055505982534744355,all_covariates,All covariates
long-term vs immediate,,0.9752961067284168,0.4535198100917936,2.651952355669512,1.0902393714310712,6.450740526375972,2.1505038700095906,0.03151538020490041,,,all_covariates,All covariates
response vs immediate,,0.5842542580673608,0.4353403532825978,1.793652884594242,0.7641334484165088,4.210247146071324,1.3420631780672458,0.17957551171185637,less,0.9102122441440719,drop_size,Drop organisation size
long-term vs response,,0.41091363269001246,0.23220733353452516,1.508195092179799,0.956750395748878,2.377477392413088,1.7695979986304644,0.0767941325045932,greater,0.0383970662522966,drop_size,Drop organisation size
long-term vs immediate,,0.9951678907573732,0.4520505318912616,2.705178477619176,1.115328352660591,6.561288053259918,2.2014527592608952,0.0277039875140818,,,drop_size,Drop organisation size
response vs immediate,,0.5845075931857813,0.43543457632569743,1.794107337422166,0.7641859140566892,4.212091689972283,1.342354569354593,0.1794810576768726,less,0.9102594711615637,drop_industry,Drop industry/sector
long-term vs response,,0.3330560491911838,0.23552885364995887,1.395225497538942,0.8793427689913718,2.2137603874489686,1.4140774857511473,0.15733915282851496,greater,0.07866957641425748,drop_industry,Drop industry/sector
long-term vs immediate,,0.9175636423769651,0.4547671213504944,2.503184302493108,1.0265668550970672,6.1037735838991525,2.017656069005455,0.043627093088165154,,,drop_industry,Drop industry/sector
response vs immediate,,0.5807369007313868,0.4351290619011557,1.7873550488248098,0.7617658449619984,4.193727103528652,1.3346313808460524,0.18199702207976554,less,0.9090014889601172,drop_size_and_industry,Drop size and industry/sector
long-term vs response,,0.3889024278730433,0.2332371416336347,1.4753605902390563,0.9340340645579833,2.3304170092132774,1.6674120817512212,0.09543249312463083,greater,0.04771624656231541,drop_size_and_industry,Drop size and industry/sector
long-term vs immediate,,0.9696393286044301,0.4526938315920709,2.6369931998009286,1.0858460130471899,6.403977223512759,2.141931833253223,0.03219896779655511,,,drop_size_and_industry,Drop size and industry/sector
