deduplicated_event_id,title,event_date,event_type,victim_organization_name,victim_organization_industry,records_affected,severity_category,primary_stakeholder_category,impact_type,confidence_score,model_used,created_at
a9e313e3-ac0a-4e04-8028-aae48c29c6f3,Australian Internet Provider Cybersecurity Breach,2025-10-17,CyberEventType.DATA_BREACH,,,1600,C4,Member(s) of the public,Isolated compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
3280e717-6656-4202-880d-f1ad41878b2d,Aussie Fluid Power Ransomware Attack,2025-10-16,CyberEventType.RANSOMWARE,Aussie Fluid Power Pty Ltd,Manufacturing,,C6,Medium-sized organisation(s),Isolated compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
59bc2d9f-e181-4412-996b-67fc9385d918,Company Announcements // The Motley Fool Australia,2025-10-16,CyberEventType.OTHER,,,0,C6,Member(s) of the public,Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
ac03a879-1e42-4e9e-af9d-bb4119643863,Exclusive: Tassie aged care NFP confirms Lynx ransomware breach,2025-10-10,CyberEventType.RANSOMWARE,Community Based Support Ltd,Healthcare,,C6,Medium-sized organisation(s),Isolated compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
bdf496d3-bc79-476f-a7fd-059bf9cde780,Exclusive: Aussie firm Benedict listed by INC Ransom hacking group,2025-10-09,CyberEventType.RANSOMWARE,Benedict Industries Pty Ltd,Manufacturing,100,C5,Large organisation(s),Isolated compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
f5de9688-2f71-4da2-a797-fd994089af83,Asahi Ransomware Attack,2025-09-29,CyberEventType.RANSOMWARE,"Asahi Group Holdings, Ltd.",Manufacturing,9323,C4,Large organisation(s),Isolated compromise,0.8,gpt-4o,2025-11-18T16:48:04.974798
a59d48da-1a2d-45d4-a165-f26bad93fa6d,Cyber Daily,2025-09-29,CyberEventType.RANSOMWARE,,,0,C6,Member(s) of the public,Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
db75f757-146a-42a6-b84e-c6881ca4ae80,"Exclusive: Qilin ransomware affiliate claims Asahi hack, Aussie data compromised",2025-09-16,CyberEventType.RANSOMWARE,,,0,C6,Member(s) of the public,Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
1ef9d765-ca42-490d-b555-27bd62909ee7,The followi,2025-09-01,,Intellect Systems Pty Ltd,Technology,,C6,Medium-sized organisation(s),Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
08b7674c-b1c2-4f7b-b10c-2de87a58c609,Betwee,2025-09-01,,New South Wales Government,Government,,C6,State government,Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
